nm_name,st_name_clean,st_name,nm_city,st_area,st_road,st_address,st_url,st_score,st_price,st_total_com,st_tag,longitude,latitude
寧夏夜市,寧夏夜市魷魚焿,寧夏夜市魷魚焿,台北市,大同區,, ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E9%AD%B7%E9%AD%9A%E7%84%BF/data=!4m7!3m6!1s0x3442a90726fe8a91:0x19281f9d68cc0984!8m2!3d25.0564543!4d121.5153197!16s%2Fg%2F11fd4v15mk!19sChIJkYr-JgepQjQRhAnMaJ0fKBk?authuser=0&hl=zh-TW&rclk=1,3.5,$1-200,27,"米粉,羹,碗,餐,勾芡,炒,辣椒",25.0564543,121.5153197
寧夏夜市,FUN SUN G,FUN SUN G,台北市,大同區,,071號攤位 ,https://www.google.com/maps/place/FUN+SUN+G/data=!4m7!3m6!1s0x3442a935b4ba9941:0x559ca771b0a05ecf!8m2!3d25.0562122!4d121.515457!16s%2Fg%2F11fd4l9fj1!19sChIJQZm6tDWpQjQRz16gsHGnnFU?authuser=0&hl=zh-TW&rclk=1,3.5,$1-200,160,"雞排,炸,汁,孜然,粉,辣,醃,夜市,熊貓,梅",25.0562122,121.515457
寧夏夜市,花后,花后-花枝燒,台北市,大同區,, ,https://www.google.com/maps/place/%E8%8A%B1%E5%90%8E-%E8%8A%B1%E6%9E%9D%E7%87%92/data=!4m7!3m6!1s0x3442a94f09fb80bd:0x2e06e0f37e85f952!8m2!3d25.0563776!4d121.5154103!16s%2Fg%2F11k4m5zr4f!19sChIJvYD7CU-pQjQRUvmFfvPgBi4?authuser=0&hl=zh-TW&rclk=1,4.5,,23,"炸,整塊,椒鹽,甜,選擇,芥末,蜂蜜,夜市,調味,辣",25.0563776,121.5154103
寧夏夜市,古早味愛玉,古早味愛玉,台北市,大同區,,137攤 ,https://www.google.com/maps/place/%E5%8F%A4%E6%97%A9%E5%91%B3%E6%84%9B%E7%8E%89/data=!4m7!3m6!1s0x3442a90e94c09337:0x7ab5f7de548f1b2a!8m2!3d25.0563583!4d121.5154108!16s%2Fg%2F11t4bx13t9!19sChIJN5PAlA6pQjQRKhuPVN73tXo?authuser=0&hl=zh-TW&rclk=1,4.9,,9,"阿姨,酸甜,檸檬",25.0563583,121.5154108
寧夏夜市,魚鮮生綜合生魚片,魚鮮生綜合生魚片,台北市,大同區,,北側 ,https://www.google.com/maps/place/%E9%AD%9A%E9%AE%AE%E7%94%9F%E7%B6%9C%E5%90%88%E7%94%9F%E9%AD%9A%E7%89%87/data=!4m7!3m6!1s0x3442a93faaaaaaab:0x76efe0e0f07eb652!8m2!3d25.0569902!4d121.5162686!16s%2Fg%2F1wzt01v5!19sChIJq6qqqj-pQjQRUrZ-8ODg73Y?authuser=0&hl=zh-TW&rclk=1,3.6,,45,"價格,鮭魚,夜市,軟絲,甜蝦",25.0569902,121.5162686
寧夏夜市,曾家鮮果汁,曾家鮮果汁,台北市,大同區,,內 ,https://www.google.com/maps/place/%E6%9B%BE%E5%AE%B6%E9%AE%AE%E6%9E%9C%E6%B1%81/data=!4m7!3m6!1s0x3442a96b23c40233:0xc3c380e780d3abb8!8m2!3d25.0561428!4d121.5151479!16s%2Fg%2F12m9kx4bv!19sChIJMwLEI2upQjQRuKvTgOeAw8M?authuser=0&hl=zh-TW&rclk=1,3.3,$1-200,236,"杯,木瓜牛奶,酪梨,夜市,芭樂,布丁,柳橙汁,臉,綜合果汁,西瓜汁",25.0561428,121.5151479
寧夏夜市,寧夏夜市鳥蛋達人,寧夏夜市鳥蛋達人,台北市,大同區,,29攤 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E9%B3%A5%E8%9B%8B%E9%81%94%E4%BA%BA/data=!4m7!3m6!1s0x3442a9e7519069b9:0x6d448928de3780da!8m2!3d25.0563772!4d121.5154134!16s%2Fg%2F11thxv27zr!19sChIJuWmQUeepQjQR2oA33iiJRG0?authuser=0&hl=zh-TW&rclk=1,3.8,,19,"油,煎,起司,胡椒,價格",25.0563772,121.5154134
寧夏夜市,阿卡拉炸雞,阿卡拉炸雞,台北市,大同區,,078號攤位號 ,https://www.google.com/maps/place/%E9%98%BF%E5%8D%A1%E6%8B%89%E7%82%B8%E9%9B%9E/data=!4m7!3m6!1s0x3442a927480db3e5:0x487680c4e9e9868b!8m2!3d25.0566808!4d121.5153641!16s%2Fg%2F11sf2hx66z!19sChIJ5bMNSCepQjQRi4bp6cSAdkg?authuser=0&hl=zh-TW&rclk=1,3.9,$1-200,26,"腿,排,地瓜,梅,酥脆",25.0566808,121.5153641
寧夏夜市,冰哨酪梨牛奶,冰哨酪梨牛奶,台北市,大同區,,103 ,https://www.google.com/maps/place/%E5%86%B0%E5%93%A8%E9%85%AA%E6%A2%A8%E7%89%9B%E5%A5%B6/data=!4m7!3m6!1s0x3442a93faaaaaaab:0x2acae5c146597cdd!8m2!3d25.0556201!4d121.5151945!16s%2Fg%2F11h0ksyzq!19sChIJq6qqqj-pQjQR3XxZRsHlyio?authuser=0&hl=zh-TW&rclk=1,4.3,$1-200,76,"布丁,甜,價格,寧夏夜市,木瓜牛奶,杯,苦",25.0556201,121.5151945
寧夏夜市,飛天火爆骰子牛,飛天火爆骰子牛,台北市,大同區,,第89攤 ,https://www.google.com/maps/place/%E9%A3%9B%E5%A4%A9%E7%81%AB%E7%88%86%E9%AA%B0%E5%AD%90%E7%89%9B/data=!4m7!3m6!1s0x3442a99ce544c763:0x84fb2b993249e9e2!8m2!3d25.0560556!4d121.5154233!16s%2Fg%2F11l2p2zhlc!19sChIJY8dE5ZypQjQR4ulJMpkr-4Q?authuser=0&hl=zh-TW&rclk=1,3.4,$1-200,7,烤,25.0560556,121.5154233
